address,person,wiki,year,person_year,PAON,Street,Postcode
"26 BATCHELOR STREET, ISLINGTON N1 0EG",Thomas Hosmer Shepherd,https://en.wikipedia.org/wiki/Thomas_Hosmer_Shepherd,01/01/1976,Thomas Hosmer Shepherd_1976,26,,N1 0EG
"26 BRUTON STREET, MAYFAIR W1J 6QL",Sir Norman Hartnell,https://en.wikipedia.org/wiki/Norman_Hartnell,01/01/2005,Sir Norman Hartnell_2005,26,,W1J 6QL
"26 CROOM'S HILL, GREENWICH SE10 8ER",Benjamin Waugh,https://en.wikipedia.org/wiki/Benjamin_Waugh,01/01/1984,Benjamin Waugh_1984,26,,SE10 8ER
"26 HERNE HILL, HERNE HILL SE24 9QS",John Ruskin,https://en.wikipedia.org/wiki/John_Ruskin,01/01/1926,John Ruskin_1926,26,,SE24 9QS
"26 GWENDOLEN AVENUE, PUTNEY SW15 6EH",Edvard Beneš,https://en.wikipedia.org/wiki/Edvard_Bene%C5%A1,01/01/1978,Edvard Beneš_1978,26, GWENDOLEN AVENUE,SW15 6EH
"26 PELHAM CRESCENT, SOUTH KENSINGTON SW7 2NR",Sir Nigel Playfair,https://en.wikipedia.org/wiki/Nigel_Playfair,01/01/1965,Sir Nigel Playfair_1965,26, PELHAM CRESCENT,SW7 2NR
"27 CHESTER TERRACE, REGENT'S PARK NW1 4ND",Sir John Maitland Salmond,https://en.wikipedia.org/wiki/John_Salmond,01/01/2002,Sir John Maitland Salmond_2002,27, CHESTER TERRACE,NW1 4ND
"27 LANERCOST ROAD, TULSE HILL SW2 4DP",Arthur Mee,https://en.wikipedia.org/wiki/Arthur_Mee,01/01/1991,Arthur Mee_1991,27, LANERCOST ROAD,SW2 4DP
"27 SUMNER PLACE, CHELSEA SW7 3NT",Joseph Aloysius Hansom,https://en.wikipedia.org/wiki/Joseph_Hansom,01/01/1980,Joseph Aloysius Hansom_1980,27, SUMNER PLACE,SW7 3NT
"27 STOCKWELL PARK ROAD, STOCKWELL SW9 0AP",Lilian Baylis,https://en.wikipedia.org/wiki/Lilian_Baylis,01/01/1974,Lilian Baylis_1974,27, STOCKWELL PARK ROAD,SW9 0AP
"27 STAMFORD BROOK ROAD, CHISWICK W6 0XJ",Lucien Pissarro,https://en.wikipedia.org/wiki/Lucien_Pissarro,01/01/1976,Lucien Pissarro_1976,27, STAMFORD BROOK ROAD,W6 0XJ
"27 VICTORIA ROAD, KENSINGTON W8 5RF",Rudolf Nureyev,https://en.wikipedia.org/wiki/Rudolf_Nureyev,01/01/2017,Rudolf Nureyev_2017,27, VICTORIA ROAD,W8 5RF
"27 WHITCOMB STREET, LEICESTER SQUARE WC2H 7EP",Sir Mortimer Wheeler,https://en.wikipedia.org/wiki/Mortimer_Wheeler,01/01/1993,Sir Mortimer Wheeler_1993,27, LEICESTER SQUARE,WC2H 7EP
"28 FINCHLEY ROAD, ST JOHN'S WOOD NW8 6ES",Thomas Hood,https://en.wikipedia.org/wiki/Thomas_Hood,01/01/2001,Thomas Hood_2001,28, FINCHLEY ROAD,NW8 6ES
"28 DORSET SQUARE, MARYLEBONE NW1 6QG",George Grossmith,https://en.wikipedia.org/wiki/George_Grossmith,01/01/1963,George Grossmith_1963,28, DORSET SQUARE,NW1 6QG
"28 NEWMAN STREET, FITZROVIA W1T 1PR",Thomas Stothard,https://en.wikipedia.org/wiki/Thomas_Stothard,01/01/1911,Thomas Stothard_1911,28,,W1T 1PR
"28 QUEEN ANNE STREET, MARYLEBONE W1G 8HY",Sir George Frederic Still,https://en.wikipedia.org/wiki/George_Frederic_Still,01/01/1993,Sir George Frederic Still_1993,28,,W1G 8HY
"28 CINTRA PARK, UPPER NORWOOD SE19 2LH",Marie Stopes,https://en.wikipedia.org/wiki/Marie_Stopes,01/01/2010,Marie Stopes_2010,28,,SE19 2LH
"28 ST JAMES'S PLACE, ST JAMES'S SW1A 1NR",William Huskisson,https://en.wikipedia.org/wiki/William_Huskisson,01/01/1962,William Huskisson_1962,28,S PLACE,SW1A 1NR
"28 QUEEN ANNE'S GATE, WESTMINSTER SW1H 9AB",Lord Haldane,"https://en.wikipedia.org/wiki/Richard_Haldane,_1st_Viscount_Haldane",01/01/1954,Lord Haldane_1954,28,S GATE,SW1H 9AB
"28 MALLORD STREET, CHELSEA SW3 6DU",Augustus John,https://en.wikipedia.org/wiki/Augustus_John,01/01/1981,Augustus John_1981,28,,SW3 6DU
"28 HYDE PARK GATE, KENSINGTON SW7 5DJ",Sir Winston Churchill O. M.,https://en.wikipedia.org/wiki/Winston_Churchill,01/01/1985,Sir Winston Churchill O. M._1985,28, HYDE PARK GATE,SW7 5DJ
"28 DEAN STREET, SOHO W1D 3RY",Karl Marx,https://en.wikipedia.org/wiki/Karl_Marx,01/01/1967,Karl Marx_1967,28,,W1D 3RY
"28 CAMPDEN GROVE, HOLLAND PARK W8 4JQ",James Joyce,https://en.wikipedia.org/wiki/James_Joyce,01/01/1994,James Joyce_1994,28,,W8 4JQ
"29 FITZROY SQUARE, FITZROVIA W1T 5LP",Sir George Bernard Shaw,https://en.wikipedia.org/wiki/George_Bernard_Shaw,01/01/1951,Sir George Bernard Shaw_1951,29, FITZROY SQUARE,W1T 5LP
"29 FITZROY SQUARE, FITZROVIA W1T 5LP",Virginia Woolf,https://en.wikipedia.org/wiki/Virginia_Woolf,01/01/1974,Virginia Woolf_1974,29, FITZROY SQUARE,W1T 5LP
"29 EATON PLACE, BELGRAVIA SW1X 8BP","John Lubbock, 1st Baron Avebury","https://en.wikipedia.org/wiki/John_Lubbock,_1st_Baron_Avebury",01/01/1935,"John Lubbock, 1st Baron Avebury_1935",29, EATON PLACE,SW1X 8BP
"29 HYDE PARK GATE, KENSINGTON SW7 5DJ",Enid Bagnold,https://en.wikipedia.org/wiki/Enid_Bagnold,01/01/1997,Enid Bagnold_1997,29, HYDE PARK GATE,SW7 5DJ
"29 CAMPDEN HILL ROAD, HOLLAND PARK W8 7DX",Sir Henry Newbolt,https://en.wikipedia.org/wiki/Henry_Newbolt,01/01/1994,Sir Henry Newbolt_1994,29, CAMPDEN HILL ROAD,W8 7DX
"30 LANGDON PARK ROAD, HIGHGATE N6 5QG",V. K. Krishna Menon,https://en.wikipedia.org/wiki/V._K._Krishna_Menon,01/01/2013,V. K. Krishna Menon_2013,30, LANGDON PARK ROAD,N6 5QG
"30 GOLDEN SQUARE, SOHO W1F 9LD",John Hunter,https://en.wikipedia.org/wiki/John_Hunter_(surgeon),01/01/1907,John Hunter_1907,30, GOLDEN SQUARE,W1F 9LD
"30 DAGNALL PARK, SOUTH NORWOOD SE25 5PH",Samuel Coleridge-Taylor,https://en.wikipedia.org/wiki/Samuel_Coleridge-Taylor,01/01/1975,Samuel Coleridge-Taylor_1975,30,,SE25 5PH
"30 CADOGAN PLACE, CHELSEA SW1X 9RX",Dorothy Bland,https://en.wikipedia.org/wiki/Dorothy_Bland,01/01/1975,Dorothy Bland_1975,30, CADOGAN PLACE,SW1X 9RX
"30 TITE STREET, CHELSEA SW3 4JA",Philip Arnold Heseltine a.k.a. Peter Warlock,https://en.wikipedia.org/wiki/Peter_Warlock,01/01/1984,Philip Arnold Heseltine a.k.a. Peter Warlock_1984,30,,SW3 4JA
"30 MAIDA AVENUE, MAIDA VALE W2 5BB",John Masefield O. M.,https://en.wikipedia.org/wiki/John_Masefield,01/01/2002,John Masefield O. M._2002,30, MAIDA AVENUE,W2 5BB
"31 HIGHGATE WEST HILL, HIGHGATE N6 6NP",Sir John Betjeman,https://en.wikipedia.org/wiki/John_Betjeman,01/01/2006,Sir John Betjeman_2006,31,,N6 6NP
"31 MORNINGTON CRESCENT, CAMDEN NW1 7RE",Spencer Frederick Gore,https://en.wikipedia.org/wiki/Spencer_Gore_(artist),01/01/2017,Spencer Frederick Gore_2017,31, MORNINGTON CRESCENT,NW1 7RE
"31 STEELE'S ROAD, CHALK FARM NW3 4RE",Leslie 'Hutch' Hutchinson,https://en.wikipedia.org/wiki/Leslie_Hutchinson,01/01/2012,Leslie 'Hutch' Hutchinson_2012,31,S ROAD,NW3 4RE
"31 PANDORA ROAD, WEST HAMPSTEAD NW6 1TS","Alfred Harmsworth, 1st Viscount Northcliffe","https://en.wikipedia.org/wiki/Alfred_Harmsworth,_1st_Viscount_Northcliffe",01/01/1979,"Alfred Harmsworth, 1st Viscount Northcliffe_1979",31, PANDORA ROAD,NW6 1TS
"31 MARLBOROUGH HILL, ST JOHN'S WOOD NW8 0NG",Sir Bernard Spilsbury,https://en.wikipedia.org/wiki/Bernard_Spilsbury,01/01/2004,Sir Bernard Spilsbury_2004,31,,NW8 0NG
"31 GROVE END ROAD, ST JOHN'S WOOD NW8 9NG",Sir Thomas Beecham C. H.,https://en.wikipedia.org/wiki/Thomas_Beecham,01/01/1985,Sir Thomas Beecham C. H._1985,31, GROVE END ROAD,NW8 9NG
"31 KING'S ROAD, CHELSEA SW3 4RP",Percy Grainger,https://en.wikipedia.org/wiki/Percy_Grainger,01/01/1988,Percy Grainger_1988,31,S ROAD,SW3 4RP
"31 BOLTON GARDENS, SOUTH KENSINGTON SW5 0AQ",Sir Edwin Arnold,https://en.wikipedia.org/wiki/Edwin_Arnold,01/01/1931,Sir Edwin Arnold_1931,31,,SW5 0AQ
"31 ROSARY GARDENS, SOUTH KENSINGTON SW7 4NH",Sir Herbert-Beerbohm Tree,https://en.wikipedia.org/wiki/Herbert_Beerbohm_Tree,01/01/1950,Sir Herbert-Beerbohm Tree_1950,31,,SW7 4NH
"31 ST JAMES'S GARDENS, NOTTING HILL W11 4RE",Lao She,https://en.wikipedia.org/wiki/Lao_She,01/01/2003,Lao She_2003,31,,W11 4RE
"31 KING STREET, COVENT GARDEN WC2E 8JD",Thomas Arne,https://en.wikipedia.org/wiki/Thomas_Arne,01/01/1988,Thomas Arne_1988,31,,WC2E 8JD
"32 ELDER STREET, SPITALFIELDS E1 6BT",Mark Gertler,https://en.wikipedia.org/wiki/Mark_Gertler_(artist),01/01/2000,Mark Gertler_2000,32,"ELDER STREET,",E1 6BT
"32 BOW ROAD, BOW E3 4LN",Thomas Barnardo,https://en.wikipedia.org/wiki/Thomas_John_Barnardo,01/01/2016,Thomas Barnardo_2016,32, BOW ROAD,E3 4LN
"32 CHARLTON PLACE, ISLINGTON N1 8AJ",Caroline Chisholm,https://en.wikipedia.org/wiki/Caroline_Chisholm,01/01/1983,Caroline Chisholm_1983,32, CHARLTON PLACE,N1 8AJ
"32 PARKSIDE, MILL HILL NW7 2LH,",Graham Hill,https://en.wikipedia.org/wiki/Graham_Hill,01/01/2003,Graham Hill_2003,32,,NW7 2LH
"32 QUEEN'S GROVE, ST JOHN'S WOOD NW8 6HJ",George Frampton,https://en.wikipedia.org/wiki/George_Frampton,01/01/1977,George Frampton_1977,32,,NW8 6HJ
"32 ABERDEEN PLACE, ST JOHN'S WOOD NW8 8JR",Guy Gibson,https://en.wikipedia.org/wiki/Guy_Gibson,01/01/2006,Guy Gibson_2006,32, ABERDEEN PLACE,NW8 8JR
"32 CURZON STREET, MAYFAIR W1J 7TS","Rufus Isaacs, 1st Marquess of Reading","https://en.wikipedia.org/wiki/Rufus_Isaacs,_1st_Marquess_of_Reading",01/01/1971,"Rufus Isaacs, 1st Marquess of Reading_1971",32,,W1J 7TS
"32 ELM PARK GARDENS, CHELSEA SW10 4NY",Sir Stafford Cripps,https://en.wikipedia.org/wiki/Stafford_Cripps,01/01/1989,Sir Stafford Cripps_1989,32,,SW10 4NY
"32 SOHO SQUARE, SOHO W1D 3AP",32 Soho Square,https://en.wikipedia.org/wiki/Soho_Square,01/01/1938,32 Soho Square_1938,32, SOHO SQUARE,W1D 3AP
"32 GROSVENOR GARDENS, BELGRAVIA SW1W 0DH","F. E. Smith, 1st Earl of Birkenhead","https://en.wikipedia.org/wiki/F._E._Smith,_1st_Earl_of_Birkenhead",01/01/1959,"F. E. Smith, 1st Earl of Birkenhead_1959",32,,SW1W 0DH
"32 ONSLOW SQUARE, KENSINGTON SW7 3NS",Baron Carlo Marochetti,https://en.wikipedia.org/wiki/Carlo_Marochetti,01/01/2010,Baron Carlo Marochetti_2010,32, ONSLOW SQUARE,SW7 3NS
"32 BARON'S COURT ROAD, BARONS COURT W14 9DT",Sir Geoffrey De Havilland,https://en.wikipedia.org/wiki/Geoffrey_De_Havilland,01/01/2001,Sir Geoffrey De Havilland_2001,32,S COURT,W14 9DT
"32 TWYFORD AVENUE, ACTON W3 9QB",Richard Titmuss,https://en.wikipedia.org/wiki/Richard_Titmuss,01/01/2011,Richard Titmuss_2011,32, TWYFORD AVENUE,W3 9QB
"32 CRAVEN STREET, CHARING CROSS, WC2N 5NP",Heinrich Heine,https://en.wikipedia.org/wiki/Heinrich_Heine,01/01/1912,Heinrich Heine_1912,32,,WC2N 5NP
"33 FITZROY SQUARE, FITZROVIA W1P 6AY",Roger Fry,https://en.wikipedia.org/wiki/Roger_Fry,01/01/2010,Roger Fry_2010,33, FITZROY SQUARE,W1P 6AY
"33 LAVENDER GARDENS, CLAPHAM SW11 1DJ",G. A. Henty,https://en.wikipedia.org/wiki/G._A._Henty,01/01/1953,G. A. Henty_1953,33,,SW11 1DJ
"33 ST GEORGE'S SQUARE, PIMLICO SW1V 2HX",Major Walter Clopton Wingfield,https://en.wikipedia.org/wiki/Walter_Clopton_Wingfield,01/01/1987,Major Walter Clopton Wingfield_1987,33,S SQUARE,SW1V 2HX
"33 OAKLEY GARDENS, CHELSEA SW3 5QH",George Gissing,https://en.wikipedia.org/wiki/George_Gissing,01/01/1975,George Gissing_1975,33,,SW3 5QH
"33 THURLOE SQUARE, SOUTH KENSINGTON SW7 2SD",Sir Henry Cole,https://en.wikipedia.org/wiki/Henry_Cole,01/01/1991,Sir Henry Cole_1991,33, THURLOE SQUARE,SW7 2SD
"33 DEAN STREET, SOHO W1D 4PW",Dr. Joseph Rogers,https://en.wikipedia.org/wiki/Joseph_Rogers_(physician),01/01/1996,Dr. Joseph Rogers_1996,33,,W1D 4PW
"33 AMPTON STREET, KING'S CROSS WC1X 0LT",Thomas Carlyle,https://en.wikipedia.org/wiki/Thomas_Carlyle,01/01/1907,Thomas Carlyle_1907,33,,WC1X 0LT
"34 ELM PARK GARDENS, CHELSEA SW10 9NZ",Joyce Grenfell,https://en.wikipedia.org/wiki/Joyce_Grenfell,01/01/2003,Joyce Grenfell_2003,34,,SW10 9NZ
"34 BELGRAVE SQUARE, BELGRAVIA SW1X 8QB",Field Marshal Viscount Gort V.C.,"https://en.wikipedia.org/wiki/John_Vereker,_6th_Viscount_Gort",01/01/2005,Field Marshal Viscount Gort V.C._2005,34, BELGRAVE SQUARE,SW1X 8QB
"34 TITE STREET, CHELSEA SW3 4JA",Oscar Wilde,https://en.wikipedia.org/wiki/Oscar_Wilde,01/01/1954,Oscar Wilde_1954,34,,SW3 4JA
"34 ENNISMORE GARDENS, KNIGHTSBRIDGE SW7 1AE",Ava Gardner,https://en.wikipedia.org/wiki/Ava_Gardner,01/01/2016,Ava Gardner_2016,34,,SW7 1AE
"34 FOXLEY ROAD, CAMBERWELL SW9 6ES",David Cox,https://en.wikipedia.org/wiki/David_Cox_(artist),01/01/1951,David Cox_1951,34, FOXLEY ROAD,SW9 6ES
"34 MONTAGU SQUARE, MARYLEBONE W1H 2LJ",John Lennon,https://en.wikipedia.org/wiki/John_Lennon,01/01/2010,John Lennon_2010,34, MONTAGU SQUARE,W1H 2LJ
"34 CRAVEN ROAD, PADDINGTON W2 3QA",Tommy Handley,https://en.wikipedia.org/wiki/Tommy_Handley,01/01/1980,Tommy Handley_1980,34, CRAVEN ROAD,W2 3QA
"34 DE VERE GARDENS, KENSINGTON W8 5AQ",Henry James,https://en.wikipedia.org/wiki/Henry_James,01/01/1949,Henry James_1949,34,,W8 5AQ
"34 SHEFFIELD TERRACE, HOLLAND PARK W8 7NA",Prebendary Wilson Carlile,https://en.wikipedia.org/wiki/Wilson_Carlile,01/01/1972,Prebendary Wilson Carlile_1972,34, SHEFFIELD TERRACE,W8 7NA
"34 RUSSELL CHAMBERS, BURY PLACE, BLOOMSBURY WC1A 2JX",Bertrand Russell,https://en.wikipedia.org/wiki/Bertrand_Russell,01/01/2002,Bertrand Russell_2002,34, BURY PLACE,WC1A 2JX
"35 BEDFORD SQUARE, BLOOMSBURY WC1B 3ES",Thomas Hodgkin,https://en.wikipedia.org/wiki/Thomas_Hodgkin,01/01/1985,Thomas Hodgkin_1985,35, BEDFORD SQUARE,WC1B 3ES
"35 BEDFORD SQUARE, BLOOMSBURY WC1B 3ES",Thomas Wakley,https://en.wikipedia.org/wiki/Thomas_Wakley,01/01/1962,Thomas Wakley_1962,35, BEDFORD SQUARE,WC1B 3ES
"35 GLOUCESTER SQUARE, PADDINGTON W2 2DT",George Stephenson,https://en.wikipedia.org/wiki/George_Stephenson,01/01/1905,George Stephenson_1905,35, GLOUCESTER SQUARE,W2 2DT
"35 RUSSELL ROAD, HOLLAND PARK W14 8HU",Jinnah a.k.a. Quaid i Azam,https://en.wikipedia.org/wiki/Muhammad_Ali_Jinnah,01/01/1955,Jinnah a.k.a. Quaid i Azam_1955,35, RUSSELL ROAD,W14 8HU
"36 FOREST HILL ROAD, PECKHAM RYE SE22 0RR",Boris Karloff,https://en.wikipedia.org/wiki/Boris_Karloff,01/01/1998,Boris Karloff_1998,36, FOREST HILL ROAD,SE22 0RR
"36 PANTON STREET, LEICESTER SQUARE SW1Y 4EA",Tom Cribb,https://en.wikipedia.org/wiki/Tom_Cribb,01/01/2005,Tom Cribb_2005,36, LEICESTER SQUARE,SW1Y 4EA
"36 ONSLOW SQUARE, CHELSEA SW7 3NS",William Makepeace Thackeray,https://en.wikipedia.org/wiki/William_Makepeace_Thackeray,01/01/1912,William Makepeace Thackeray_1912,36, ONSLOW SQUARE,SW7 3NS
"36 TAVISTOCK STREET, COVENT GARDEN WC2E 7PB",Thomas de Quincey,https://en.wikipedia.org/wiki/Thomas_de_Quincey,01/01/1981,Thomas de Quincey_1981,36,,WC2E 7PB
"36 CRAVEN STREET, CHARING CROSS WC2N 5NF",Benjamin Franklin,https://en.wikipedia.org/wiki/Benjamin_Franklin,01/01/1914,Benjamin Franklin_1914,36,,WC2N 5NF
"37 CHALCOT CRESCENT, BELSIZE PARK NW1 8YG",Dr. José Rizal,https://en.wikipedia.org/wiki/Jos%C3%A9_Rizal,01/01/1983,Dr. José Rizal_1983,37, CHALCOT CRESCENT,NW1 8YG
"37 BELSIZE PARK GARDENS,, BELSIZE PARK NW3 4JH",Henry Noel Brailsford,https://en.wikipedia.org/wiki/Henry_Noel_Brailsford,01/01/1983,Henry Noel Brailsford_1983,37,,NW3 4JH
"37 FROGNAL, HAMPSTEAD, NW3 6YD",Dennis Brain,https://en.wikipedia.org/wiki/Dennis_Brain,01/01/1995,Dennis Brain_1995,37,,NW3 6YD
"37 CHESHAM PLACE, BELGRAVIA SW1X 6HB","John Russell, 1st Earl Russell","https://en.wikipedia.org/wiki/John_Russell,_1st_Earl_Russell",01/01/1911,"John Russell, 1st Earl Russell_1911",37, CHESHAM PLACE,SW1X 6HB
"37 FOLEY STREET, FITZROVIA W1W 7TN",Henry Fuseli,https://en.wikipedia.org/wiki/Henry_Fuseli,01/01/1961,Henry Fuseli_1961,37,,W1W 7TN
"37 GERRARD STREET, LEICESTER SQUARE W1D 5QB",Edmund Burke,https://en.wikipedia.org/wiki/Edmund_Burke,01/01/1876,Edmund Burke_1876,37, LEICESTER SQUARE,W1D 5QB
"37 NOTTINGHAM PLACE, MARYLEBONE W1U 5LT",Charles Eamer Kempe,https://en.wikipedia.org/wiki/Charles_Eamer_Kempe,01/01/1994,Charles Eamer Kempe_1994,37, NOTTINGHAM PLACE,W1U 5LT
"37 EATON SQUARE, BELGRAVIA SW1W 9DH",Neville Chamberlain,https://en.wikipedia.org/wiki/Neville_Chamberlain,01/01/1962,Neville Chamberlain_1962,37, EATON SQUARE,SW1W 9DH
"37 THE RIDINGS, HANGER HILL, EALING W5 3BT",Alan Dower Blumlein,https://en.wikipedia.org/wiki/Alan_Dower_Blumlein,01/01/1977,Alan Dower Blumlein_1977,37,,W5 3BT
"38 HARMAN DRIVE, CRICKLEWOOD NW2 2ED,",Henry Hall,https://en.wikipedia.org/wiki/Henry_Hall_(bandleader),01/01/2003,Henry Hall_2003,38,,NW2 2ED
"38 MARLBOROUGH PLACE, ST JOHN'S WOOD NW8 0PJ",Thomas Henry Huxley,https://en.wikipedia.org/wiki/Thomas_Henry_Huxley,01/01/1910,Thomas Henry Huxley_1910,38, MARLBOROUGH PLACE,NW8 0PJ
"38 ONSLOW SQUARE, CHELSEA SW7 3NS",Admiral Robert Fitzroy,https://en.wikipedia.org/wiki/Robert_FitzRoy,01/01/1981,Admiral Robert Fitzroy_1981,38, ONSLOW SQUARE,SW7 3NS
"38 ONSLOW GARDENS, CHELSEA SW7 3PY",W. E. H. Lecky,https://en.wikipedia.org/wiki/William_Edward_Hartpole_Lecky,01/01/1955,W. E. H. Lecky_1955,38,,SW7 3PY
"38 SOUTH STREET, MAYFAIR W1K 1DJ",J. Arthur Rank,https://en.wikipedia.org/wiki/J._Arthur_Rank,01/01/2012,J. Arthur Rank_2012,38,,W1K 1DJ
"38 QUEENSBOROUGH TERRACE, BAYSWATER W2 3SH",Sir William Sterndale Bennett,https://en.wikipedia.org/wiki/William_Sterndale_Bennett,01/01/1996,Sir William Sterndale Bennett_1996,38, QUEENSBOROUGH TERRACE,W2 3SH
"39 FROGNAL, HAMPSTEAD NW3 6YD",Kate Greenaway,https://en.wikipedia.org/wiki/Kate_Greenaway,01/01/1949,Kate Greenaway_1949,39,,NW3 6YD
"39 BROOK STREET, MAYFAIR W1K 4JE",Sir Jeffry Wyatville,https://en.wikipedia.org/wiki/Jeffry_Wyatville,01/01/1984,Sir Jeffry Wyatville_1984,39,,W1K 4JE
"39 COLBY ROAD, GIPSY HILL SE19 1HA",Annie Besant,https://en.wikipedia.org/wiki/Annie_Besant,01/01/1963,Annie Besant_1963,39, COLBY ROAD,SE19 1HA
"39 WESTMORELAND ROAD, BARNES SW13 9RZ",Kurt Schwitters,https://en.wikipedia.org/wiki/Kurt_Schwitters,01/01/1984,Kurt Schwitters_1984,39, WESTMORELAND ROAD,SW13 9RZ
"39 HARRINGTON GARDENS, SOUTH KENSINGTON SW7 4JU",Sir W. S. Gilbert,https://en.wikipedia.org/wiki/W._S._Gilbert,01/01/1929,Sir W. S. Gilbert_1929,39,,SW7 4JU
"39 CHEPSTOW VILLAS, NOTTING HILL W11 3DP",Louis Kossuth,https://en.wikipedia.org/wiki/Louis_Kossuth,01/01/1959,Louis Kossuth_1959,39,,W11 3DP
"39 MONTAGU SQUARE, MARYLEBONE W1H 2LL",Anthony Trollope,https://en.wikipedia.org/wiki/Anthony_Trollope,01/01/1914,Anthony Trollope_1914,39, MONTAGU SQUARE,W1H 2LL
"40 WELL WALK, HAMPSTEAD NW3 1BX",John Constable,https://en.wikipedia.org/wiki/John_Constable,01/01/1923,John Constable_1923,40, WELL WALK,NW3 1BX
"40 NIGHTINGALE LANE, CLAPHAM SW12 8TF",H. M. Bateman,https://en.wikipedia.org/wiki/H._M._Bateman,01/01/1997,H. M. Bateman_1997,40, NIGHTINGALE LANE,SW12 8TF
"40 ST LUKE'S ROAD, WESTBOURNE PARK W11 1DH",William Henry Hudson,https://en.wikipedia.org/wiki/William_Henry_Hudson,01/01/1938,William Henry Hudson_1938,40,S ROAD,W11 1DH
"40 LANGHAM STREET, FITZROVIA W1W 7AS",Edmond Malone,https://en.wikipedia.org/wiki/Edmond_Malone,01/01/1962,Edmond Malone_1962,40,,W1W 7AS
"40 KENSINGTON SQUARE, KENSINGTON W8 5HP",Sir John Simon,https://en.wikipedia.org/wiki/John_Simon_(pathologist),01/01/1959,Sir John Simon_1959,40, KENSINGTON SQUARE,W8 5HP
"41 CASSLAND ROAD, HACKNEY E9 7AL",Maria Dickin,https://en.wikipedia.org/wiki/Maria_Dickin,01/01/2015,Maria Dickin_2015,41, CASSLAND ROAD,E9 7AL
"41 BEAK STREET, SOHO W1F 9SB",Giovanni Antonio Canal,https://en.wikipedia.org/wiki/Canaletto,01/01/1925,Giovanni Antonio Canal_1925,41,,W1F 9SB
"41 PORTLAND PLACE, MARYLEBONE W1B 1BN",Thomas Gage,https://en.wikipedia.org/wiki/Thomas_Gage,01/01/1996,Thomas Gage_1996,41, PORTLAND PLACE,W1B 1BN
"41 TOTHILL STREET, WESTMINSTER SW1H 9LQ",Stella Lady Reading,"https://en.wikipedia.org/wiki/Stella_Isaacs,_Marchioness_of_Reading",01/01/2017,Stella Lady Reading_2017,41,,SW1H 9LQ
"41 KENSINGTON SQUARE, SOUTH KENSINGTON W8 5HP",Sir Edward Burne-Jones,https://en.wikipedia.org/wiki/Edward_Burne-Jones,01/01/1998,Sir Edward Burne-Jones_1998,41, KENSINGTON SQUARE,W8 5HP
"41 BEDFORD SQUARE, BLOOMSBURY, WC1B 3HX",Sir Anthony Hope HawkinsAnthony Hope,https://en.wikipedia.org/wiki/Anthony_Hope_Hawkins,01/01/1976,Sir Anthony Hope HawkinsAnthony Hope_1976,41, BEDFORD SQUARE,WC1B 3HX
"42 OAKHILL GARDENS, WOODFORD GREEN IG8 9DY",James Hilton,https://en.wikipedia.org/wiki/James_Hilton_(novelist),01/01/1997,James Hilton_1997,42,,IG8 9DY
"42 WOODSTOCK ROAD, GOLDERS GREEN NW11 8ER,",Mary Macarthur,https://en.wikipedia.org/wiki/Mary_Macarthur,01/01/2017,Mary Macarthur_2017,42, WOODSTOCK ROAD,NW11 8ER
"42 CLIFTON HILL, ST JOHN'S WOOD NW8 0QG",Melanie Klein,https://en.wikipedia.org/wiki/Melanie_Klein,01/01/1985,Melanie Klein_1985,42,,NW8 0QG
"42 QUEEN'S ROAD, PECKHAM SE15 2HP",Dr. Innes Pearse and Dr George Scott Williamson ,https://en.wikipedia.org/wiki/The_Peckham_Experiment,01/01/2013,Dr. Innes Pearse and Dr George Scott Williamson _2013,42,S ROAD,SE15 2HP
"42 MARRYAT ROAD, WIMBLEDON SW19 5BD",Lionel Tertis,https://en.wikipedia.org/wiki/Lionel_Tertis,01/01/2015,Lionel Tertis_2015,42, MARRYAT ROAD,SW19 5BD
"42 BEDFORD SQUARE, BLOOMSBURY WC1B 3HX",William Butterfield,https://en.wikipedia.org/wiki/William_Butterfield,01/01/1978,William Butterfield_1978,42, BEDFORD SQUARE,WC1B 3HX
"43 TRINITY SQUARE, TOWER HILL EC3N 4DJ",Reverend P. T. B. 'Tubby' Clayton,https://en.wikipedia.org/wiki/Tubby_Clayton,01/01/1995,Reverend P. T. B. 'Tubby' Clayton_1995,43, TRINITY SQUARE,EC3N 4DJ
"43 WAVERLEY GARDENS, BARKING IG11 0BH",Bobby Moore,https://en.wikipedia.org/wiki/Bobby_Moore,01/01/2016,Bobby Moore_2016,43,,IG11 0BH
"43 GERRARD STREET, SOHO W1D 5QG",John Dryden,https://en.wikipedia.org/wiki/John_Dryden,1870-01-01,John Dryden_1870,43,,W1D 5QG
"43 OLD TOWN, CLAPHAM SW4 0JL",John Francis Bentley,https://en.wikipedia.org/wiki/John_Francis_Bentley,01/01/1950,John Francis Bentley_1950,43,,SW4 0JL
"43 SOUTH STREET, MAYFAIR W1K 2XQ","Albert Stanley, 1st Baron Ashfield","https://en.wikipedia.org/wiki/Albert_Stanley,_1st_Baron_Ashfield",01/01/1984,"Albert Stanley, 1st Baron Ashfield_1984",43,,W1K 2XQ
"43 GLOUCESTER SQUARE, PADDINGTON W2 2TQ",Violet Bonham Carter,"https://en.wikipedia.org/wiki/Violet_Bonham_Carter,_Baroness_Asquith_of_Yarnbury",01/01/1994,Violet Bonham Carter_1994,43, GLOUCESTER SQUARE,W2 2TQ
